nomeUtente,nome,cognome,eMail
marco_ferrari,Marco,Ferrari,marco.ferrari@email.it
sofia_russo,Sofia,Russo,sofia.russo@email.it
luca_esposito,Luca,Esposito,luca.esposito@email.it
giulia_bianchi,Giulia,Bianchi,giulia.bianchi@email.it
andrea_romano,Andrea,Romano,andrea.romano@email.it
chiara_colombo,Chiara,Colombo,chiara.colombo@email.it
matteo_ricci,Matteo,Ricci,matteo.ricci@email.it
valentina_marino,Valentina,Marino,valentina.marino@email.it
davide_greco,Davide,Greco,davide.greco@email.it
francesca_bruno,Francesca,Bruno,francesca.bruno@email.it
simone_gallo,Simone,Gallo,simone.gallo@email.it
elena_conti,Elena,Conti,elena.conti@email.it
fabio_mancini,Fabio,Mancini,fabio.mancini@email.it
laura_costa,Laura,Costa,laura.costa@email.it
nicola_giordano,Nicola,Giordano,nicola.giordano@email.it
sara_rizzo,Sara,Rizzo,sara.rizzo@email.it
roberto_lombardi,Roberto,Lombardi,roberto.lombardi@email.it
anna_moreno,Anna,Moreno,anna.moreno@email.it
emanuele_fontana,Emanuele,Fontana,emanuele.fontana@email.it
claudia_barbieri,Claudia,Barbieri,claudia.barbieri@email.it
tomaso_messina,Tomaso,Messina,tomaso.messina@email.it
paola_villa,Paola,Villa,paola.villa@email.it
giovanni_caruso,Giovanni,Caruso,giovanni.caruso@email.it
martina_ferri,Martina,Ferri,martina.ferri@email.it
alessio_pellegrini,Alessio,Pellegrini,alessio.pellegrini@email.it
ilaria_marini,Ilaria,Marini,ilaria.marini@email.it
stefano_fiore,Stefano,Fiore,stefano.fiore@email.it
monica_leone,Monica,Leone,monica.leone@email.it
carmine_serra,Carmine,Serra,carmine.serra@email.it
beatrice_coppola,Beatrice,Coppola,beatrice.coppola@email.it
debora_casini,Debora,Casini,debora.casini@email.it
marco_riva,Marco,Riva,marco.riva@email.it
carmine_rizzi,Carmine,Rizzi,carmine.rizzi@email.it
simone_fabbri,Simone,Fabbri,simone.fabbri@email.it
giada_lodi,Giada,Lodi,giada.lodi@email.it
stefano_salvi,Stefano,Salvi,stefano.salvi@email.it
davide_grassi,Davide,Grassi,davide.grassi@email.it
